,DATE,MODAL
0,2010-01-01,1250.0
1,2010-01-02,1250.0
2,2010-01-03,1575.0
3,2010-01-04,1625.0
4,2010-01-05,1600.0
5,2010-01-06,1625.0
6,2010-01-07,1650.0
7,2010-01-08,1750.0
8,2010-01-09,1716.6666666666667
9,2010-01-10,1683.3333333333333
10,2010-01-11,1650.0
11,2010-01-12,1667.857142857143
12,2010-01-13,1650.0
13,2010-01-14,1750.0
14,2010-01-15,1850.0
15,2010-01-16,1735.7142857142858
16,2010-01-17,1825.0
17,2010-01-18,1375.0
18,2010-01-19,1750.0
19,2010-01-20,1650.0
20,2010-01-21,1550.0
21,2010-01-22,1750.0
22,2010-01-23,1716.6666666666667
23,2010-01-24,1683.3333333333333
24,2010-01-25,1650.0
25,2010-01-26,1550.0
26,2010-01-27,1450.0
27,2010-01-28,1375.0
28,2010-01-29,1596.4285714285713
29,2010-01-30,1200.0
30,2010-01-31,1175.0
31,2010-02-01,1150.0
32,2010-02-02,1150.0
33,2010-02-03,1200.0
34,2010-02-04,1192.857142857143
35,2010-02-05,1050.0
36,2010-02-06,950.0
37,2010-02-07,912.5
38,2010-02-08,875.0
39,2010-02-09,1250.0
40,2010-02-10,1100.0
41,2010-02-11,1150.0
42,2010-02-12,1141.6666666666667
43,2010-02-13,1133.3333333333333
44,2010-02-14,1125.0
45,2010-02-15,1116.6666666666667
46,2010-02-16,1108.3333333333333
47,2010-02-17,1100.0
48,2010-02-18,1150.0
49,2010-02-19,1150.0
50,2010-02-20,1126.1904761904761
51,2010-02-21,1300.0
52,2010-02-22,1050.0
53,2010-02-23,1150.0
54,2010-02-24,1250.0
55,2010-02-25,1125.0
56,2010-02-26,1150.0
57,2010-02-27,1175.0
58,2010-02-28,1200.0
59,2010-03-01,1225.0
60,2010-03-02,1250.0
61,2010-03-03,1200.0
62,2010-03-04,1189.2857142857142
63,2010-03-05,1350.0
64,2010-03-06,1250.0
65,2010-03-07,1125.0
66,2010-03-08,1000.0
67,2010-03-09,1100.0
68,2010-03-10,1300.0
69,2010-03-11,1350.0
70,2010-03-12,1250.0
71,2010-03-13,1291.6666666666667
72,2010-03-14,1333.3333333333333
73,2010-03-15,1375.0
74,2010-03-16,1425.0
75,2010-03-17,1332.142857142857
76,2010-03-18,1373.2142857142858
77,2010-03-19,1430.357142857143
78,2010-03-20,2316.6666666666665
79,2010-03-21,2533.3333333333335
80,2010-03-22,2750.0
81,2010-03-23,2500.0
82,2010-03-24,2375.0
83,2010-03-25,2250.0
84,2010-03-26,2375.0
85,2010-03-27,2850.0
86,2010-03-28,2800.0
87,2010-03-29,2750.0
88,2010-03-30,3125.0
89,2010-03-31,2937.5
90,2010-04-01,2750.0
91,2010-04-02,2750.0
92,2010-04-03,2750.0
93,2010-04-04,2937.5
94,2010-04-05,3125.0
95,2010-04-06,3125.0
96,2010-04-07,2750.0
97,2010-04-08,3125.0
98,2010-04-09,3000.0
99,2010-04-10,3375.0
100,2010-04-11,3291.6666666666665
101,2010-04-12,3208.3333333333335
102,2010-04-13,3125.0
103,2010-04-14,3125.0
104,2010-04-15,3125.0
105,2010-04-16,3125.0
106,2010-04-17,3125.0
107,2010-04-18,3160.714285714286
108,2010-04-19,3172.619047619048
109,2010-04-20,3125.0
110,2010-04-21,3125.0
111,2010-04-22,3125.0
112,2010-04-23,3050.0
113,2010-04-24,3116.6666666666665
114,2010-04-25,3183.3333333333335
115,2010-04-26,3250.0
116,2010-04-27,3139.285714285714
117,2010-04-28,3625.0
118,2010-04-29,3625.0
119,2010-04-30,3353.5714285714284
120,2010-05-01,4125.0
121,2010-05-02,4125.0
122,2010-05-03,4125.0
123,2010-05-04,4250.0
124,2010-05-05,3750.0
125,2010-05-06,4125.0
126,2010-05-07,4250.0
127,2010-05-08,4250.0
128,2010-05-09,4250.0
129,2010-05-10,4250.0
130,2010-05-11,4250.0
131,2010-05-12,4250.0
132,2010-05-13,4125.0
133,2010-05-14,4232.142857142857
134,2010-05-15,4357.142857142857
135,2010-05-16,5250.0
136,2010-05-17,4250.0
137,2010-05-18,4750.0
138,2010-05-19,5250.0
139,2010-05-20,5250.0
140,2010-05-21,5375.0
141,2010-05-22,5666.666666666667
142,2010-05-23,5958.333333333333
143,2010-05-24,6250.0
144,2010-05-25,4250.0
145,2010-05-26,4500.0
146,2010-05-27,4750.0
147,2010-05-28,5750.0
148,2010-05-29,5500.0
149,2010-05-30,5875.0
150,2010-05-31,6250.0
151,2010-06-01,5500.0
152,2010-06-02,5750.0
153,2010-06-03,5500.0
154,2010-06-04,5732.142857142857
155,2010-06-05,5875.0
156,2010-06-06,5000.0
157,2010-06-07,7750.0
158,2010-06-08,7500.0
159,2010-06-09,7500.0
160,2010-06-10,7500.0
161,2010-06-11,8000.0
162,2010-06-12,8000.0
163,2010-06-13,8000.0
164,2010-06-14,8000.0
165,2010-06-15,7785.714285714285
166,2010-06-16,8500.0
167,2010-06-17,9375.0
168,2010-06-18,10250.0
169,2010-06-19,10250.0
170,2010-06-20,10250.0
171,2010-06-21,10250.0
172,2010-06-22,10250.0
173,2010-06-23,11250.0
174,2010-06-24,10267.857142857143
175,2010-06-25,9625.0
176,2010-06-26,9093.75
177,2010-06-27,8562.5
178,2010-06-28,8031.25
179,2010-06-29,7500.0
180,2010-06-30,7250.0
181,2010-07-01,6750.0
182,2010-07-02,7250.0
183,2010-07-03,7250.0
184,2010-07-04,7250.0
185,2010-07-05,7250.0
186,2010-07-06,6750.0
187,2010-07-07,7250.0
188,2010-07-08,7107.142857142857
189,2010-07-09,3625.0
190,2010-07-10,5000.0
191,2010-07-11,6375.0
192,2010-07-12,7750.0
193,2010-07-13,5750.0
194,2010-07-14,6750.0
195,2010-07-15,6250.0
196,2010-07-16,6500.0
197,2010-07-17,6750.0
198,2010-07-18,6000.0
199,2010-07-19,5250.0
200,2010-07-20,6178.571428571428
201,2010-07-21,4750.0
202,2010-07-22,3250.0
203,2010-07-23,3750.0
204,2010-07-24,4000.0
205,2010-07-25,4250.0
206,2010-07-26,4500.0
207,2010-07-27,4392.857142857143
208,2010-07-28,4285.714285714285
209,2010-07-29,4178.571428571428
210,2010-07-30,4071.4285714285716
211,2010-07-31,3964.285714285714
212,2010-08-01,3857.142857142857
213,2010-08-02,3750.0
214,2010-08-03,4071.4285714285716
215,2010-08-04,3890.3061224489793
216,2010-08-05,3625.0
217,2010-08-06,2750.0
218,2010-08-07,3750.0
219,2010-08-08,3937.5
220,2010-08-09,4125.0
221,2010-08-10,4187.5
222,2010-08-11,4250.0
223,2010-08-12,3803.5714285714284
224,2010-08-13,5250.0
225,2010-08-14,5916.666666666667
226,2010-08-15,6583.333333333333
227,2010-08-16,7250.0
228,2010-08-17,4750.0
229,2010-08-18,4250.0
230,2010-08-19,3375.0
231,2010-08-20,3781.25
232,2010-08-21,4187.5
233,2010-08-22,4593.75
234,2010-08-23,5000.0
235,2010-08-24,4375.0
236,2010-08-25,3750.0
237,2010-08-26,3750.0
238,2010-08-27,3750.0
239,2010-08-28,3250.0
240,2010-08-29,2750.0
241,2010-08-30,2250.0
242,2010-08-31,3750.0
243,2010-09-01,4250.0
244,2010-09-02,5250.0
245,2010-09-03,6250.0
246,2010-09-04,4250.0
247,2010-09-05,4500.0
248,2010-09-06,4750.0
249,2010-09-07,5375.0
250,2010-09-08,6000.0
251,2010-09-09,5750.0
252,2010-09-10,5750.0
253,2010-09-11,7000.0
254,2010-09-12,5589.285714285715
255,2010-09-13,6125.0
256,2010-09-14,8500.0
257,2010-09-15,9500.0
258,2010-09-16,9500.0
259,2010-09-17,8285.714285714286
260,2010-09-18,10500.0
261,2010-09-19,10666.666666666666
262,2010-09-20,10833.333333333334
263,2010-09-21,11000.0
264,2010-09-22,11166.666666666666
265,2010-09-23,11333.333333333334
266,2010-09-24,11500.0
267,2010-09-25,10416.666666666666
268,2010-09-26,10988.095238095239
269,2010-09-27,10797.619047619048
270,2010-09-28,10500.0
271,2010-09-29,10250.0
272,2010-09-30,10350.0
273,2010-10-01,10450.0
274,2010-10-02,10550.0
275,2010-10-03,10650.0
276,2010-10-04,10750.0
277,2010-10-05,10500.0
278,2010-10-06,10500.0
279,2010-10-07,10714.285714285714
280,2010-10-08,12025.0
281,2010-10-09,11800.0
282,2010-10-10,11575.0
283,2010-10-11,11350.0
284,2010-10-12,11125.0
285,2010-10-13,10900.0
286,2010-10-14,10675.0
287,2010-10-15,10450.0
288,2010-10-16,10225.0
289,2010-10-17,10000.0
290,2010-10-18,9775.0
291,2010-10-19,9550.0
292,2010-10-20,9325.0
293,2010-10-21,9100.0
294,2010-10-22,8875.0
295,2010-10-23,8650.0
296,2010-10-24,8425.0
297,2010-10-25,8200.0
298,2010-10-26,7975.0
299,2010-10-27,7750.0
300,2010-10-28,7750.0
301,2010-10-29,8750.0
302,2010-10-30,8214.285714285714
303,2010-10-31,9250.0
304,2010-11-01,8750.0
305,2010-11-02,8500.0
306,2010-11-03,8750.0
307,2010-11-04,9750.0
308,2010-11-05,9750.0
309,2010-11-06,9750.0
310,2010-11-07,9750.0
311,2010-11-08,9750.0
312,2010-11-09,9750.0
313,2010-11-10,9607.142857142857
314,2010-11-11,7750.0
315,2010-11-12,5750.0
316,2010-11-13,5416.666666666667
317,2010-11-14,5083.333333333333
318,2010-11-15,4750.0
319,2010-11-16,5250.0
320,2010-11-17,4750.0
321,2010-11-18,4375.0
322,2010-11-19,5053.571428571428
323,2010-11-20,3583.3333333333335
324,2010-11-21,3416.6666666666665
325,2010-11-22,3250.0
326,2010-11-23,3500.0
327,2010-11-24,3250.0
328,2010-11-25,2875.0
329,2010-11-26,3126.0
330,2010-11-27,3285.8571428571427
331,2010-11-28,2562.5
332,2010-11-29,2625.0
333,2010-11-30,2437.5
334,2010-12-01,2250.0
335,2010-12-02,2222.5806451612902
336,2010-12-03,2195.1612903225805
337,2010-12-04,2167.741935483871
338,2010-12-05,2140.3225806451615
339,2010-12-06,2112.9032258064517
340,2010-12-07,2085.483870967742
341,2010-12-08,2058.064516129032
342,2010-12-09,2030.6451612903227
343,2010-12-10,2003.225806451613
344,2010-12-11,1975.8064516129032
345,2010-12-12,1948.3870967741937
346,2010-12-13,1920.967741935484
347,2010-12-14,1893.5483870967741
348,2010-12-15,1866.1290322580644
349,2010-12-16,1838.7096774193549
350,2010-12-17,1811.2903225806451
351,2010-12-18,1783.8709677419356
352,2010-12-19,1756.4516129032259
353,2010-12-20,1729.032258064516
354,2010-12-21,1701.6129032258063
355,2010-12-22,1674.1935483870968
356,2010-12-23,1646.774193548387
357,2010-12-24,1619.3548387096776
358,2010-12-25,1591.9354838709678
359,2010-12-26,1564.516129032258
360,2010-12-27,1537.0967741935483
361,2010-12-28,1509.6774193548388
362,2010-12-29,1482.258064516129
363,2010-12-30,1454.8387096774195
364,2010-12-31,1427.4193548387098
365,2011-01-01,1400.0
366,2011-01-02,1482.258064516129
